Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_54_509.jpg;0;0;0;0;99.44453;89.12421;0.0002334762;40.13635;1.14234E-06
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_54_560.jpg;0;0;0;0;99.44453;89.12421;0.0002331859;40.13635;1.007381E-06
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_54_609.jpg;0;0;0;0;99.44453;89.12421;0.0002329923;40.13635;9.174066E-07
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_54_661.jpg;0;0;0;0;99.44453;89.12421;0.0002329923;40.13635;9.174066E-07
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_54_709.jpg;0;0;0;0;99.44453;89.12421;0.0002330148;40.13635;8.690223E-07
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_54_760.jpg;0;0;0;0;99.44453;89.12421;0.0002330823;40.13635;7.238563E-07
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_54_809.jpg;0;0;0;0;99.44453;89.12421;0.0002331273;40.13635;6.270812E-07
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_54_860.jpg;0;0;0;0;99.44453;89.12421;0.0002331947;40.13635;4.819152E-07
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_54_910.jpg;0;0;0;0;99.44453;89.12421;0.0002332397;40.13635;3.8514E-07
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_54_961.jpg;0;0;0;0;99.44453;89.12421;0.0002333072;40.13635;2.39974E-07
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_55_010.jpg;0;0;0;0;99.44453;89.12421;0.0002333072;40.13635;2.39974E-07
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_55_060.jpg;0;0;0;0;99.44453;89.12421;0.0002333072;40.13635;2.39974E-07
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_55_110.jpg;0;0;0;0;99.44453;89.12421;0.0002333072;40.13635;2.39974E-07
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_55_161.jpg;0;0;0;0;99.44453;89.12421;0.0002333072;40.13635;2.39974E-07
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_55_209.jpg;0;0;0;0;99.44453;89.12421;0.0002331137;40.13635;1.499992E-07
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_55_261.jpg;0;0;0;0;99.44453;89.12421;0.0002331137;40.13635;1.499992E-07
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_55_310.jpg;0;0;0;0;99.44453;89.12421;0.0002331137;40.13635;1.499992E-07
